ATIVOS DA CARTEIRA;;;;;;;
AÇÕES (Perene);100,00%;13,50%;R$ 1.350,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 18,43
BBDC4;10,00%;1,35%;R$ 135,00;R$ 18,43;7;1;R$ 18,43
ITUB4;10,00%;1,35%;R$ 135,00;R$ 42,89;3;0;R$ 0,00
BBAS3;10,00%;1,35%;R$ 135,00;R$ 21,35;6;0;R$ 0,00
CMIG3;10,00%;1,35%;R$ 135,00;R$ 16,34;8;0;R$ 0,00
TAEE3;10,00%;1,35%;R$ 135,00;R$ 13,19;10;0;R$ 0,00
SAPR3;10,00%;1,35%;R$ 135,00;R$ 8,05;17;0;R$ 0,00
SBSP3;10,00%;1,35%;R$ 135,00;R$ 27,70;5;0;R$ 0,00
CXSE3;10,00%;1,35%;R$ 135,00;R$ 20,25;7;0;R$ 0,00
BBSE3;10,00%;1,35%;R$ 135,00;R$ 41,26;3;0;R$ 0,00
VIVT3;5,00%;0,68%;R$ 67,50;R$ 32,63;2;0;R$ 0,00
FIQE3;5,00%;0,68%;R$ 67,50;R$ 5,40;13;0;R$ 0,00
;;;;;;;
AÇÕES (Commodities);100,00%;9,00%;R$ 900,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 43,42
PETR4;30,00%;2,70%;R$ 270,00;R$ 43,42;6;1;R$ 43,42
VALE3;30,00%;2,70%;R$ 270,00;R$ 76,28;4;0;R$ 0,00
GGBR4;10,00%;0,90%;R$ 90,00;R$ 24,98;4;0;R$ 0,00
KLBN3;15,00%;1,35%;R$ 135,00;R$ 3,67;37;0;R$ 0,00
WEGE3;15,00%;1,35%;R$ 135,00;R$ 47,20;3;0;R$ 0,00
;;;;;;;
FIIS (Ancoragem);100,00%;22,50%;R$ 2.250,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 100,81
BTLG11;20,00%;4,50%;R$ 450,00;R$ 100,81;4;1;R$ 100,81
GGRC11;20,00%;4,50%;R$ 450,00;R$ 10,03;45;0;R$ 0,00
HGLG11;20,00%;4,50%;R$ 450,00;R$ 147,42;3;0;R$ 0,00
XPML11;20,00%;4,50%;R$ 450,00;R$ 104,78;4;0;R$ 0,00
HGBS11;20,00%;4,50%;R$ 450,00;R$ 19,14;24;0;R$ 0,00
LVBI11;0,00%;0,00%;R$ 0,00;R$ 102,98;0;0;R$ 0,00
;;;;;;;
FIIS (Crescimento);100,00%;13,50%;R$ 1.350,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 8,25
GARE11;25,00%;3,38%;R$ 337,50;R$ 8,25;41;1;R$ 8,25
PMLL11;25,00%;3,38%;R$ 337,50;R$ 102,10;3;0;R$ 0,00
XPLG11;25,00%;3,38%;R$ 337,50;R$ 92,90;4;0;R$ 0,00
VISC11;25,00%;3,38%;R$ 337,50;R$ 104,89;3;0;R$ 0,00
;;;;;;;
FIIS (Risco);100,00%;9,00%;R$ 900,00;Preço Atual;Qtde. Desejada;Qtde. Adquirida;R$ 91,11
HSLG11;25,00%;2,25%;R$ 225,00;R$ 91,11;2;1;R$ 91,11
VILG11;25,00%;2,25%;R$ 225,00;R$ 91,94;2;0;R$ 0,00
RECR11;50,00%;4,50%;R$ 450,00;R$ 80,00;6;0;R$ 0,00
;;;;;;;
