70;REALIDADE;;;;;;;;;;;
0;Carteira;;balancea/o (total);;Ativos (total);;Patrimonio Total;(%) Patrimônio;Investimento;;Ganho de Capital;(%) Ganho
0;BALANCEAMENTO;;100,00%;;45;;R$ 990.811,18;4,22%;R$ 948.953,08;;R$ 41.858,10;4,41%
20;REALIDADE;;;;;;;;;;;
0;Carteira Renda Variável;Risco por classe;(%) RV;(%) na carteira;Ativos;(%) total;Saldo Renda Variável;;Investi/o RV;;(Ganho/Perda) RV;
0;REALIDADE;Qualificado;73,14%;73,14%;39;100,00%;R$ 724.632,21;;R$ 693.156,23;;R$ 31.475,98;
12;Classes de Ativos;Risco;balancea/o;% na carteira;desejado;% por classe;Saldo por Classe;Subtotal (Classes);Investi/o por classe;Subtotal (Classes);Ganho por classe;Subtotal (Classes)
2;AÇÕES;Perene;19,91%;13,20%;11;66,30%;R$ 130.806,44;R$ 197.282,29;R$ 119.408,27;R$ 167.877,67;R$ 11.398,17;R$ 29.404,62
2;AÇÕES;Commodities;;6,71%;5;33,70%;R$ 66.475,85;;R$ 48.469,40;;R$ 18.006,45;
3;FIIS;Ancoragem;36,16%;18,06%;6;49,95%;R$ 178.968,48;R$ 358.287,98;R$ 188.105,86;R$ 373.570,86;-R$ 9.137,38;-R$ 15.282,88
3;FIIS;Crescimento;;12,53%;4;34,64%;R$ 124.120,50;;R$ 129.672,00;;-R$ 5.551,50;
3;FIIS;Cautela;;5,57%;3;15,41%;R$ 55.199,00;;R$ 55.793,00;;-R$ 594,00;
4;ETFS;ETF-USA;17,06%;8,55%;1;50,11%;R$ 84.711,50;R$ 169.061,94;R$ 77.191,30;R$ 151.707,70;R$ 7.520,20;R$ 17.354,24
4;ETFS;Res.Mercado;;0,45%;1;2,65%;R$ 4.482,76;;R$ 4.530,54;;-R$ 47,78;
4;BDRS;Stocks;;8,06%;8;47,24%;R$ 79.867,68;;R$ 69.985,86;;R$ 9.881,82;
0;Carteira Renda FIxa;Risco por classe;(%) RF;(%) na carteira;Ativos;(%) total;Saldo Renda Fixa;;Investi/o RF;;(Ganho/Perda) RF;
0;REALIDADE;Qualificado;26,86%;26,86%;6;100,00%;R$ 266.178,97;;R$ 255.796,85;;R$ 10.382,12;
12;Classes de Ativos;Risco;balancea/o;% na carteira;desejado;% por classe;Saldo por Classe;Subtotal (Classes);Investi/o por classe;Subtotal (Classes);Ganho por classe;Subtotal (Classes)
5;RF;Inflação BR;4,22%;4,22%;2;38,05%;R$ 41.807,28;R$ 109.884,66;R$ 38.226,25;R$ 99.873,05;R$ 3.581,03;R$ 9.136,45
5;RF;Prefixado BR;4,29%;4,29%;2;38,66%;R$ 42.477,42;;R$ 36.922,00;;R$ 5.555,42;
5;RF;Pós-Fixado BR;2,58%;2,58%;1;23,30%;R$ 25.599,96;;R$ 24.724,80;;R$ 875,16;
5;RF;Pós-Fixado USA;15,77%;15,77%;1;100,00%;R$ 156.294,31;R$ 156.294,31;R$ 155.923,80;R$ 155.923,80;R$ 370,51;R$ 370,51
40;REALIDADE;;;;;;;;;;;
0;Classe de Ativo;Risco do Ativo;Compras;Ativos;Preço com;P.Atual/P.Médio;Ganho/Perda;% na carteira;Dividend Yield (último 12 meses);;Saldo Total;Saldo Investido
0;AÇÕES;Qualificado;Realizadas;16;15min. atraso;16,95%;R$ 29.404,62;19,91%;valor atual;valor pago;R$ 197.282,29;R$ 167.877,67
11;Ativo;Risco;Adquirido;Preço Médio;Preço Atual;Variação;Representa;% na carteira;D.Y.;Yield on Cost;Saldo;Investido
2;BBDC4;Perene;700;R$ 12,18;R$ 16,24;33,33%;R$ 2.842,00;1,15%;9,30%;12,40%;R$ 11.368,00;R$ 8.526,00
2;ITUB4;Perene;103;R$ 31,57;R$ 38,60;22,27%;R$ 724,09;0,40%;8,24%;10,07%;R$ 3.975,80;R$ 3.251,71
2;BBAS3;Perene;700;R$ 21,88;R$ 18,43;-15,77%;-R$ 2.415,00;1,30%;25,39%;21,39%;R$ 12.901,00;R$ 15.316,00
