10;;;;;
0;;(%);% na carteira;Ativos;Valor Total
0;AÇÕES (PERENE);100,00%;15,00%;11;R$ 30.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;BBDC4;10,00%;1,50%;181;R$ 3.000,00
2;ITUB4;10,00%;1,50%;77;R$ 3.000,00
2;BBAS3;10,00%;1,50%;163;R$ 3.000,00
2;CMIG3;10,00%;1,50%;202;R$ 3.000,00
2;TAEE3;10,00%;1,50%;241;R$ 3.000,00
2;SAPR3;10,00%;1,50%;415;R$ 3.000,00
2;SBSP3;10,00%;1,50%;126;R$ 3.000,00
2;CXSE3;10,00%;1,50%;168;R$ 3.000,00
2;BBSE3;10,00%;1,50%;81;R$ 3.000,00
2;VIVT3;5,00%;0,75%;50;R$ 1.500,00
2;FIQE3;5,00%;0,75%;317;R$ 1.500,00
0;;(%);% na carteira;Ativos;Valor Total
0;AÇÕES (COMMODITIES);100,00%;10,00%;5;R$ 20.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;PETR4;30,00%;3,00%;143;R$ 6.000,00
2;VALE3;30,00%;3,00%;84;R$ 6.000,00
2;GGBR4;10,00%;1,00%;81;R$ 2.000,00
2;KLBN3;15,00%;1,50%;838;R$ 3.000,00
2;WEGE3;15,00%;1,50%;63;R$ 3.000,00
0;;(%);% na carteira;Ativos;Valor Total
0;FIIS (ANCORAGEM);100,00%;15,00%;6;R$ 30.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;BTLG11;20,00%;3,00%;60;R$ 6.000,00
2;GGRC11;20,00%;3,00%;640;R$ 6.000,00
2;HGLG11;10,00%;1,50%;21;R$ 3.000,00
2;XPML11;20,00%;3,00%;59;R$ 6.000,00
2;HGBS11;20,00%;3,00%;324;R$ 6.000,00
2;LVBI11;10,00%;1,50%;31;R$ 3.000,00
0;;(%);% na carteira;Ativos;Valor Total
0;FIIS (CRESCIMENTO);100,00%;9,00%;4;R$ 18.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;GARE11;25,00%;2,25%;554;R$ 4.500,00
2;PMLL11;25,00%;2,25%;45;R$ 4.500,00
2;XPLG11;25,00%;2,25%;50;R$ 4.500,00
2;VISC11;25,00%;2,25%;44;R$ 4.500,00
0;;(%);% na carteira;Ativos;Valor Total
0;FIIS (RISCO);100,00%;6,00%;3;R$ 12.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;HSLG11;25,00%;1,50%;36;R$ 3.000,00
2;VILG11;25,00%;1,50%;34;R$ 3.000,00
2;RECR11;50,00%;3,00%;80;R$ 6.000,00
0;;(%);% na carteira;Ativos;Valor Total
0;ETFS;100,00%;11,25%;4;R$ 22.500,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;IVVB11;90,00%;10,13%;44;R$ 20.250,00
2;SPXB11;0,00%;0,00%;0;R$ 0,00
2;NASD11;0,00%;0,00%;0;R$ 0,00
2;WRLD11;10,00%;1,13%;15;R$ 2.250,00
0;;(%);% na carteira;Ativos;Valor Total
0;ETFS (RES. MERCADO);100,00%;2,50%;2;R$ 5.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;GOLD11;50,00%;1,25%;105;R$ 2.500,00
2;BTCBRL;50,00%;1,25%;0,00760984;R$ 2.500,00
0;;(%);% na carteira;Ativos;Valor Total
0;BDRS;100,00%;11,25%;10;R$ 22.500,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;NVDC34;15,00%;1,69%;138;R$ 3.375,00
2;MSFT34;12,00%;1,35%;25;R$ 2.700,00
2;GOGL34;12,00%;1,35%;18;R$ 2.700,00
2;AMZO34;12,00%;1,35%;39;R$ 2.700,00
2;AAPL34;12,00%;1,35%;34;R$ 2.700,00
2;NFLX34;10,00%;1,13%;277;R$ 2.250,00
2;JPMC34;12,00%;1,35%;14;R$ 2.700,00
2;PGCO34;5,00%;0,56%;21;R$ 1.125,00
2;ATTB34;5,00%;0,56%;26;R$ 1.125,00
2;EXXO34;5,00%;0,56%;11;R$ 1.125,00
0;;(%);% na carteira;Ativos;Valor Total
0;RF (INFLAÇÃO);100,00%;8,00%;4;R$ 16.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;IPCA+2029;25,00%;2,00%;1,04;R$ 4.000,00
2;IPCA+2040;25,00%;2,00%;2,36;R$ 4.000,00
2;IPCA+2050;25,00%;2,00%;4,63;R$ 4.000,00
2;Renda+2065;25,00%;2,00%;22,35;R$ 4.000,00
0;;(%);% na carteira;Ativos;Valor Total
0;RF (PREFIXADO);100,00%;8,00%;3;R$ 16.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;Prefixado2028;35,00%;2,80%;6,71;R$ 5.600,00
2;Prefixado2029;35,00%;2,80%;7,66;R$ 5.600,00
2;Prefixado2032;30,00%;2,40%;9,96;R$ 4.800,00
0;;(%);% na carteira;Ativos;Valor Total
0;RF (PÓS-FIXADO);100,00%;4,00%;2;R$ 8.000,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;CDB100%DI;50,00%;2,00%;4.000;R$ 4.000,00
2;LFTB11;50,00%;2,00%;32;R$ 4.000,00
0;;(%);% na carteira;Ativos;Valor Total
0;ETF (EXTERIOR);100,00%;0,00%;1;R$ 0,00
1;Ativo;balancea/o;% na carteira;Desejado;Saldo
2;TFLO;100,00%;0,00%;0,00;R$ 0,00
20;REALIDADE;;;;;;
0;;;;Variação;Ativos;% na carteira;Valor Total
0;AÇÕES (PERENE);;;11,52%;11;15,74%;R$ 12.996,92
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo
2;BBDC4;70;R$ 12,18;35,80%;R$ 305,20;1,40%;R$ 1.157,80
2;ITUB4;10;R$ 31,57;23,54%;R$ 74,30;0,47%;R$ 390,00
2;BBAS3;70;R$ 21,88;-16,00%;-R$ 245,00;1,56%;R$ 1.286,60
2;CMIG3;100;R$ 14,03;5,63%;R$ 79,00;1,80%;R$ 1.482,00
2;TAEE3;90;R$ 11,58;7,43%;R$ 77,40;1,36%;R$ 1.119,60
2;SAPR3;140;R$ 6,58;9,88%;R$ 91,00;1,23%;R$ 1.012,20
2;SBSP3;50;R$ 23,00;3,43%;R$ 39,50;1,44%;R$ 1.189,50
2;CXSE3;84;R$ 14,33;24,98%;R$ 300,72;1,82%;R$ 1.504,44
2;BBSE3;74;R$ 33,77;9,42%;R$ 235,32;3,31%;R$ 2.734,30
2;VIVT3;17;R$ 28,74;3,48%;R$ 17,00;0,61%;R$ 505,58
2;FIQE3;130;R$ 3,97;19,14%;R$ 98,80;0,74%;R$ 614,90
0;;;;Variação;Ativos;% na carteira;Valor Total
0;AÇÕES (COMMODITIES);;;27,17%;5;7,77%;R$ 6.418,00
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo
2;PETR4;70;R$ 30,90;36,21%;R$ 783,30;3,57%;R$ 2.946,30
2;VALE3;24;R$ 52,82;34,99%;R$ 443,52;2,07%;R$ 1.711,20
2;GGBR4;40;R$ 15,58;58,22%;R$ 362,80;1,19%;R$ 986,00
2;KLBN3;150;R$ 3,65;-1,92%;-R$ 10,50;0,65%;R$ 537,00
2;WEGE3;5;R$ 43,83;8,37%;R$ 18,35;0,29%;R$ 237,50
0;;;;Variação;Ativos;% na carteira;Valor Total
0;FIIS (ANCORAGEM);;;-2,99%;6;21,95%;R$ 18.120,05
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo
2;BTLG11;30;R$ 97,59;2,44%;R$ 71,40;3,63%;R$ 2.999,10
2;GGRC11;450;R$ 9,86;-4,97%;-R$ 220,50;5,11%;R$ 4.216,50
2;HGLG11;15;R$ 150,02;-2,79%;-R$ 62,85;2,65%;R$ 2.187,45
