80;REALIDADE;;;;;;;;;;;;;;;
0;Carteira;;;;Patrimonio Total;(%) Patrimônio;;Investimento;Ganho de Capital;(%) Ganho;Ativos Investidos;;Total;;Em Oportunidade;
0;BALANCEAMENTO;;;;R$ 4.249,91;5,67%;;R$ 4.008,75;R$ 241,16;6,02%;0;;44;;7;
50;OPORTUNIDADE;;;;;;;;;;SIMULADOR;;;;;
0;Classe de Ativo;Risco do Ativo;Cálculo;Compras;Ativos;(PM/PA);Ganho/Perda;Valuation;;;Simule a compra;Total Investido;Ativos;Preço Alvo;Margem Segurança;
0;AÇÕES;Qualificado;Patrimônio;Realizadas;16;9,86%;R$ 153,42;Preço Teto Projetivo;;;Aqui;R$ 0,00;0;Chegou;(PM/PA);(PM/PT)
11;Ativo;Risco;Desejado;Realidade;Preço Médio;Variação;ganho/perda;Preço Atual;Preço Teto;Upside;Comprar;Investi/o;Novo (PM);Avisar;Variação;upside
2;BBDC4;Perene;9;5;R$ 12,18;37,03%;R$ 22,55;R$ 16,69;R$ 19,20;13,05%;0;R$ 0,00;R$ 12,18;R$ 0,00;37,03%;36,55%
2;ITUB4;Perene;4;2;R$ 31,57;24,17%;R$ 15,26;R$ 39,20;R$ 43,03;8,91%;0;R$ 0,00;R$ 31,57;R$ 0,00;24,17%;26,64%
2;BBAS3;Perene;8;3;R$ 21,88;-11,97%;-R$ 7,86;R$ 19,26;R$ 25,88;25,59%;0;R$ 0,00;R$ 21,88;R$ 20,80;-11,97%;15,47%
2;CMIG3;Perene;9;4;R$ 14,03;14,90%;R$ 8,36;R$ 16,12;R$ 18,79;14,23%;0;R$ 0,00;R$ 14,03;R$ 0,00;14,90%;25,35%
2;TAEE3;Perene;12;4;R$ 11,58;10,10%;R$ 4,68;R$ 12,75;R$ 13,71;6,99%;0;R$ 0,00;R$ 11,58;R$ 0,00;10,10%;15,53%
2;SAPR3;Perene;21;8;R$ 6,58;10,94%;R$ 5,76;R$ 7,30;R$ 10,17;28,19%;0;R$ 0,00;R$ 6,58;R$ 0,00;10,94%;35,27%
