PLANEJAMENTO;;;R$ 10.000,00
;;;
RENDA VARIAVEL;100,00%;80,00%;R$ 9.000,00
ACOES (PERENE);60,00%;22,50%;R$ 1.350,00
ACOES (COMMODITIES);40,00%;;R$ 900,00
FIIS (ANCORAGEM);50,00%;45,00%;R$ 2.250,00
FIIS (CRESCIMENTO);30,00%;;R$ 1.350,00
FIIS (RISCO);20,00%;;R$ 900,00
ETFS;45,00%;22,50%;R$ 1.012,50
ETFS (RES. MERCADO);10,00%;;R$ 225,00
BDRS;45,00%;;R$ 1.012,50
;;;
RENDA FIXA;100,00%;20,00%;R$ 1.000,00
RF (INFLAMACAO);40,00%;4,00%;R$ 400,00
RF (PREFIXADO);40,00%;4,00%;R$ 400,00
RF (POS-FIXADO);20,00%;2,00%;R$ 200,00
