sim;ação;data;relatório;status
3Q26;Apple;30/07/2026;2º Trimestre de 2026;Aguardando
4Q26;Apple;29/10/2026;3º Trimestre de 2026;Aguardando
3Q26;Amazon;30/07/2026;2º Trimestre de 2026;Aguardando
3Q26;AT&T;22/07/2026;2º Trimestre de 2026;Aguardando
3Q26;Exxon Mobil;22/07/2026;2º Trimestre de 2026;Aguardando
3Q26;Alphabet;22/07/2026;2º Trimestre de 2026;Aguardando
3Q26;JP Morgan;14/07/2026;2º Trimestre de 2026;Aguardando
3Q26;Microsoft;29/07/2026;2º Trimestre de 2026;Aguardando
3Q26;Netflix;16/07/2026;2º Trimestre de 2026;Aguardando
3Q26;Nvidia;26/08/2026;2º Trimestre de 2026;Aguardando
3Q26;Nvidia;29/07/2026;2º Trimestre de 2026;Aguardando
